date,gdp_growth
1965-01-01,10.0
1965-04-01,5.2
1965-07-01,9.2
1965-10-01,9.5
1966-01-01,10.1
1966-04-01,1.4
1966-07-01,3.4
1966-10-01,3.3
1967-01-01,3.6
1967-04-01,0.2
1967-07-01,3.8
1967-10-01,3.1
1968-01-01,8.4
1968-04-01,6.9
1968-07-01,3.1
1968-10-01,1.6
1969-01-01,6.4
1969-04-01,1.2
1969-07-01,2.7
1969-10-01,-1.9
1970-01-01,-0.6
1970-04-01,0.6
1970-07-01,3.7
1970-10-01,-4.2
1971-01-01,11.3
1971-04-01,2.2
1971-07-01,3.3
1971-10-01,0.9
1972-01-01,7.6
1972-04-01,9.4
1972-07-01,3.8
1972-10-01,6.9
1973-01-01,10.3
1973-04-01,4.4
1973-07-01,-2.1
1973-10-01,3.9
1974-01-01,-3.4
1974-04-01,1.0
1974-07-01,-3.7
1974-10-01,-1.5
1975-01-01,-4.8
1975-04-01,2.9
1975-07-01,7.0
1975-10-01,5.5
1976-01-01,9.3
1976-04-01,3.0
1976-07-01,2.2
1976-10-01,2.9
1977-01-01,4.8
1977-04-01,8.0
1977-07-01,7.4
1977-10-01,0.0
1978-01-01,1.3
1978-04-01,16.4
1978-07-01,4.1
1978-10-01,5.5
1979-01-01,0.7
1979-04-01,0.4
1979-07-01,3.0
1979-10-01,1.0
1980-01-01,1.3
1980-04-01,-8.0
1980-07-01,-0.5
1980-10-01,7.7
1981-01-01,8.1
1981-04-01,-2.9
1981-07-01,4.9
1981-10-01,-4.3
1982-01-01,-6.1
1982-04-01,1.8
1982-07-01,-1.5
1982-10-01,0.2
1983-01-01,5.4
1983-04-01,9.4
1983-07-01,8.2
1983-10-01,8.6
1984-01-01,8.1
1984-04-01,7.1
1984-07-01,3.9
1984-10-01,3.3
1985-01-01,3.9
1985-04-01,3.6
1985-07-01,6.3
1985-10-01,3.0
